Fecha,Hora,Magnitud,Latitud,Longitud,Profundidad,Localización,Fecha UTC,Hora UTC
6/22/2017,17:25:16,4.7,14,-93.04,17,"121 km al SUROESTE de CD HIDALGO, CHIS",6/22/2017,22:25:16
6/22/2017,13:28:58,4,16.55,-93.87,70,"23 km al SUROESTE de CINTALAPA, CHIS",6/22/2017,18:28:58
6/22/2017,07:24:46,3.4,16.01,-97.67,27,"25 km al OESTE de RIO GRANDE, OAX",6/22/2017,12:24:46
6/22/2017,07:20:58,4,16.41,-94.64,96,"22 km al SURESTE de UNION HIDALGO, OAX",6/22/2017,12:20:58
6/22/2017,04:37:17,3.3,16.13,-97.2,33,"28 km al NORESTE de RIO GRANDE, OAX",6/22/2017,09:37:17
6/22/2017,04:28:33,4.2,16.47,-93.7,135,"25 km al SUR de CINTALAPA, CHIS",6/22/2017,09:28:33
6/22/2017,03:53:19,3.5,16.99,-100.97,10,"44 km al SUROESTE de TECPAN, GRO",6/22/2017,08:53:19
6/22/2017,03:05:47,3.5,16.21,-97.94,5,"19 km al SURESTE de PINOTEPA NACIONAL, OAX",6/22/2017,08:05:47
6/22/2017,02:31:17,3.5,16.4,-98.1,13,"8 km al NOROESTE de PINOTEPA NACIONAL, OAX",6/22/2017,07:31:17
6/22/2017,02:30:37,3.3,16.39,-97.97,11,"10 km al NORESTE de PINOTEPA NACIONAL, OAX",6/22/2017,07:30:37
6/22/2017,02:19:47,4,17.01,-94,158,"46 km al NOROESTE de CINTALAPA, CHIS",6/22/2017,07:19:47
6/22/2017,00:56:51,3.4,14.6,-92.02,89,"16 km al SURESTE de CD HIDALGO, CHIS",6/22/2017,05:56:51
6/22/2017,00:09:02,4,18.32,-101.7,20,"64 km al NORESTE de LAS GUACAMAYAS, MICH",6/22/2017,05:09:02
6/21/2017,23:34:58,3.9,17.04,-99.69,34,"28 km al NORESTE de ACAPULCO, GRO",6/22/2017,04:34:58
6/21/2017,22:55:12,4.8,17.81,-99.87,63,"41 km al NOROESTE de ZUMPANGO DEL RIO, GRO",6/22/2017,03:55:12
6/21/2017,22:52:27,3.7,17.73,-101.39,55,"19 km al NORESTE de ZIHUATANEJO, GRO",6/22/2017,03:52:27
6/21/2017,19:00:24,3.3,16.49,-98.45,8,"22 km al SUR de OMETEPEC, GRO",6/22/2017,00:00:24
6/21/2017,18:57:43,3.4,16.52,-98.45,4,"18 km al SUROESTE de OMETEPEC, GRO",6/21/2017,23:57:43
6/21/2017,18:16:42,3.8,27.52,-111.59,10,"70 km al NORESTE de SANTA ROSALIA, BCS",6/21/2017,23:16:42
6/21/2017,18:09:26,4,27.51,-111.59,10,"70 km al NORESTE de SANTA ROSALIA, BCS",6/21/2017,23:09:26
6/21/2017,17:59:35,3.5,14.73,-92.02,98,"15 km al NORESTE de CD HIDALGO, CHIS",6/21/2017,22:59:35
6/21/2017,17:45:19,3.9,17.13,-99.54,43,"40 km al NOROESTE de SAN MARCOS, GRO",6/21/2017,22:45:19
6/21/2017,16:22:36,3.7,14.2,-93.45,10,"149 km al SUROESTE de HUIXTLA, CHIS",6/21/2017,21:22:36
6/21/2017,16:16:13,3.8,14.6,-92.19,88,"10 km al SUROESTE de CD HIDALGO, CHIS",6/21/2017,21:16:13
6/21/2017,14:37:19,3.8,16.73,-99.63,4,"26 km al SUROESTE de SAN MARCOS, GRO",6/21/2017,19:37:19
6/21/2017,14:32:21,4.3,17.28,-101.14,5,"32 km al SURESTE de PETATLAN, GRO",6/21/2017,19:32:21
6/21/2017,13:17:19,4,27.61,-111.64,10,"69 km al NORESTE de SANTA ROSALIA, BCS",6/21/2017,18:17:19
6/21/2017,13:11:44,4,27.48,-111.57,8,"71 km al ESTE de SANTA ROSALIA, BCS",6/21/2017,18:11:44
6/21/2017,13:09:53,3.3,27.54,-111.6,10,"69 km al NORESTE de SANTA ROSALIA, BCS",6/21/2017,18:09:53
6/21/2017,13:09:20,3.8,27.56,-111.61,8,"69 km al NORESTE de SANTA ROSALIA, BCS",6/21/2017,18:09:20
6/21/2017,12:44:32,3.5,16.79,-100.19,10,"27 km al SUROESTE de COYUCA DE BENITEZ, GRO",6/21/2017,17:44:32
6/21/2017,12:28:59,3.7,17.02,-100.1,5,"2 km al NOROESTE de COYUCA DE BENITEZ, GRO",6/21/2017,17:28:59
6/21/2017,11:46:18,3.5,17.28,-94.91,126,"47 km al NORESTE de MATIAS ROMERO, OAX",6/21/2017,16:46:18
6/21/2017,11:38:07,3.4,14.11,-92.41,12,"69 km al SUROESTE de CD HIDALGO, CHIS",6/21/2017,16:38:07
